(s, ns, GiB/s):
  0,                0.000,           183051.037,      5.335
  1,                0.000,           182886.490,      5.340
  2,                0.000,           182182.958,      5.360
  3,                0.000,           182217.046,      5.359
  4,                0.000,           183370.877,      5.326
  5,                0.000,           183020.964,      5.336
  6,                0.000,           183686.590,      5.316
  7,                0.000,           182649.568,      5.347
  8,                0.000,           182382.822,      5.354
  9,                0.000,           181780.300,      5.372
 10,                0.000,           182182.901,      5.360
 11,                0.000,           182386.550,      5.354
 12,                0.000,           182168.442,      5.361
 13,                0.000,           181680.321,      5.375
 14,                0.000,           181744.267,      5.373
 15,                0.000,           181360.126,      5.385
 16,                0.000,           185515.874,      5.264
 17,                0.000,           181446.477,      5.382
 18,                0.000,           181672.491,      5.375
 19,                0.000,           181822.688,      5.371
 20,                0.000,           181446.488,      5.382
 21,                0.000,           181759.088,      5.373
 22,                0.000,           181089.086,      5.393
 23,                0.000,           181286.265,      5.387
 24,                0.000,           181518.856,      5.380
 25,                0.000,           181382.686,      5.384
 26,                0.000,           181584.255,      5.378
 27,                0.000,           181353.996,      5.385
 28,                0.000,           181442.627,      5.382
 29,                0.000,           181589.909,      5.378
 30,                0.000,           181434.753,      5.382
 31,                0.000,           181293.294,      5.387
 32,                0.000,           181448.495,      5.382

181089.086, 185515.874, 182055.715, 907.516, 0.498 %

Delta(min, max)   = 4426.788
Delta(amean, min) = 966.629
Delta(amean, max) = 3460.159


(cycles, CPIt, CPI):
  0,           399017.858,                3.044,                0.609
  1,           397955.338,                3.036,                0.607
  2,           399055.408,                3.045,                0.609
  3,           401678.914,                3.065,                0.613
  4,           401818.202,                3.066,                0.613
  5,           400991.912,                3.059,                0.612
  6,           400338.160,                3.054,                0.611
  7,           398800.158,                3.043,                0.609
  8,           398789.756,                3.043,                0.609
  9,           404213.126,                3.084,                0.617
 10,           402026.432,                3.067,                0.613
 11,           400421.318,                3.055,                0.611
 12,           399523.432,                3.048,                0.610
 13,           400879.080,                3.058,                0.612
 14,           403404.500,                3.078,                0.616
 15,           399922.636,                3.051,                0.610
 16,           398458.896,                3.040,                0.608
 17,           400744.400,                3.057,                0.611
 18,           402417.032,                3.070,                0.614
 19,           399930.510,                3.051,                0.610
 20,           398413.338,                3.040,                0.608
 21,           398670.426,                3.042,                0.608
 22,           398025.482,                3.037,                0.607
 23,           397733.698,                3.034,                0.607
 24,           398305.264,                3.039,                0.608
 25,           398255.010,                3.038,                0.608
 26,           399779.516,                3.050,                0.610
 27,           398948.506,                3.044,                0.609
 28,           398823.758,                3.043,                0.609
 29,           398833.980,                3.043,                0.609
 30,           398261.234,                3.038,                0.608
 31,           398218.912,                3.038,                0.608
 32,           398193.124,                3.038,                0.608

397733.698, 404213.126, 399722.707, 1673.592, 0.419 %

Delta(min, max)   = 6479.428
Delta(amean, min) = 1989.009
Delta(amean, max) = 4490.419
