(s, ns, GiB/s):
  0,                0.000,              577.000,      1.653
  1,                0.000,               43.700,     21.823
  2,                0.000,               39.900,     23.902
  3,                0.000,             1372.900,      0.695
  4,                0.000,               31.500,     30.275
  5,                0.000,               29.500,     32.328
  6,                0.000,               31.400,     30.372
  7,                0.000,               28.700,     33.229
  8,                0.000,               32.400,     29.434
  9,                0.000,               34.600,     27.563
 10,                0.000,               30.300,     31.474
 11,                0.000,               31.100,     30.665
 12,                0.000,               31.800,     29.990
 13,                0.000,               33.600,     28.383
 14,                0.000,               34.300,     27.804
 15,                0.000,               40.600,     23.490
 16,                0.000,               36.500,     26.128
 17,                0.000,               39.800,     23.962
 18,                0.000,               42.400,     22.492
 19,                0.000,               38.300,     24.900
 20,                0.000,               36.700,     25.986
 21,                0.000,               37.000,     25.775
 22,                0.000,               33.400,     28.553
 23,                0.000,               31.500,     30.275
 24,                0.000,               43.900,     21.724
 25,                0.000,               37.800,     25.229
 26,                0.000,               34.100,     27.967
 27,                0.000,               33.700,     28.299
 28,                0.000,               32.300,     29.526
 29,                0.000,               33.600,     28.383
 30,                0.000,               33.600,     28.383
 31,                0.000,               39.800,     23.962
 32,                0.000,               37.200,     25.636

28.700, 1372.900, 92.270, 248.497, 269.316 %

Delta(min, max)   = 1344.200
Delta(amean, min) = 63.570
Delta(amean, max) = 1280.630


(cycles, CPIt, CPI):
  0,               76.200,                0.595,                0.119
  1,               43.800,                0.342,                0.068
  2,               34.500,                0.270,                0.054
  3,               33.900,                0.265,                0.053
  4,               32.900,                0.257,                0.051
  5,               33.000,                0.258,                0.052
  6,               32.700,                0.255,                0.051
  7,               32.900,                0.257,                0.051
  8,               32.900,                0.257,                0.051
  9,               32.700,                0.255,                0.051
 10,               32.500,                0.254,                0.051
 11,               32.600,                0.255,                0.051
 12,               32.700,                0.255,                0.051
 13,               32.700,                0.255,                0.051
 14,               32.700,                0.255,                0.051
 15,               32.700,                0.255,                0.051
 16,               32.500,                0.254,                0.051
 17,               32.700,                0.255,                0.051
 18,               32.900,                0.257,                0.051
 19,               33.900,                0.265,                0.053
 20,               32.500,                0.254,                0.051
 21,               32.700,                0.255,                0.051
 22,               32.900,                0.257,                0.051
 23,               32.600,                0.255,                0.051
 24,               32.500,                0.254,                0.051
 25,               32.900,                0.257,                0.051
 26,               32.700,                0.255,                0.051
 27,               32.900,                0.257,                0.051
 28,               32.700,                0.255,                0.051
 29,               32.700,                0.255,                0.051
 30,               32.700,                0.255,                0.051
 31,               32.700,                0.255,                0.051
 32,               32.700,                0.255,                0.051

32.500, 76.200, 34.503, 7.736, 22.420 %

Delta(min, max)   = 43.700
Delta(amean, min) = 2.003
Delta(amean, max) = 41.697
