(s, ns, GiB/s):
  0, 0.000, 212564.997, 2.871
  1, 0.000, 214126.377, 2.850
  2, 0.000, 212567.713, 2.871
  3, 0.000, 212838.066, 2.868
  4, 0.000, 213413.208, 2.860
  5, 0.000, 212311.566, 2.875
  6, 0.000, 214083.336, 2.851
  7, 0.000, 212594.858, 2.871
  8, 0.000, 212824.989, 2.868
  9, 0.000, 212871.340, 2.867
 10, 0.000, 212703.840, 2.869
 11, 0.000, 212027.954, 2.879
 12, 0.000, 212261.216, 2.875
 13, 0.000, 212311.494, 2.875
 14, 0.000, 212806.221, 2.868
 15, 0.000, 212462.696, 2.873
 16, 0.000, 212700.000, 2.870
 17, 0.000, 213140.866, 2.864
 18, 0.000, 212900.962, 2.867
 19, 0.000, 212048.337, 2.878
 20, 0.000, 211994.756, 2.879
 21, 0.000, 216026.346, 2.825
 22, 0.000, 216986.285, 2.813
 23, 0.000, 214255.905, 2.849
 24, 0.000, 212875.116, 2.867
 25, 0.000, 212928.051, 2.866
 26, 0.000, 212406.192, 2.874
 27, 0.000, 212828.859, 2.868
 28, 0.000, 213706.844, 2.856
 29, 0.000, 213106.454, 2.864
 30, 0.000, 211877.940, 2.881
 31, 0.000, 212857.066, 2.867
 32, 0.000, 212590.447, 2.871

211877.940, 216986.285, 213030.312, 1076.339, 0.505 %

Delta(min, max)   = 5108.345
Delta(amean, min) = 1152.372
Delta(amean, max) = 3955.973


(cycles, CPIt, CPI):
  0, 552461.044, 6.744, 1.349
  1, 551851.934, 6.736, 1.347
  2, 550642.284, 6.722, 1.344
  3, 548682.840, 6.698, 1.340
  4, 552015.070, 6.738, 1.348
  5, 551559.326, 6.733, 1.347
  6, 556738.370, 6.796, 1.359
  7, 551041.518, 6.727, 1.345
  8, 552001.308, 6.738, 1.348
  9, 551795.826, 6.736, 1.347
 10, 551813.710, 6.736, 1.347
 11, 553545.750, 6.757, 1.351
 12, 551887.248, 6.737, 1.347
 13, 551448.300, 6.732, 1.346
 14, 551361.042, 6.730, 1.346
 15, 551404.262, 6.731, 1.346
 16, 551768.200, 6.735, 1.347
 17, 551345.080, 6.730, 1.346
 18, 552235.874, 6.741, 1.348
 19, 551958.880, 6.738, 1.348
 20, 550215.304, 6.716, 1.343
 21, 550891.626, 6.725, 1.345
 22, 550410.500, 6.719, 1.344
 23, 552115.794, 6.740, 1.348
 24, 551785.260, 6.736, 1.347
 25, 550927.218, 6.725, 1.345
 26, 551880.656, 6.737, 1.347
 27, 550792.288, 6.724, 1.345
 28, 552309.084, 6.742, 1.348
 29, 550890.530, 6.725, 1.345
 30, 550891.722, 6.725, 1.345
 31, 549173.860, 6.704, 1.341
 32, 552187.386, 6.741, 1.348

548682.840, 556738.370, 551576.639, 1311.228, 0.238 %

Delta(min, max)   = 8055.530
Delta(amean, min) = 2893.799
Delta(amean, max) = 5161.731
